paper_uid,doi,arxiv_id,title,abstract,publication_date,authors,affiliations,source,created_at,updated_at,target_key,affiliation_status,compliance_reason,matched_tokens,assessed_at
doi:https://doi.org/10.1111/cid.70010,https://doi.org/10.1111/cid.70010,,Probing Depth Reduction Following Peri‐Implantitis Treatment: A Systematic Review and Component Network Meta‐Analysis,,2025-02-01 00:00:00+00,"[""Anna Simonelli"", ""Chen‐Ying Wang"", ""Leonardo Trombelli"", ""Roberto Fariña"", ""Y. F. Liu"", ""Yao Sun"", ""Yu‐Kang Tu""]","[""Azienda Unità Sanitaria Locale di Ferrara"", ""National Taiwan University"", ""National Taiwan University Hospital""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_85f72fb233b8a3d7db09,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.72569+00
doi:https://doi.org/10.4135/9781071979938,https://doi.org/10.4135/9781071979938,,IVC in the United States: “Interest Integration” Behind Successful Operations,,2025-01-01 00:00:00+00,"[""Abdelrahman Nasr Abdelrahman Mohamed"", ""Haiying Wang"", ""Y. F. Liu""]",[],openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_85f72fb233b8a3d7db09,unknown,status=unknown; matched=-,[],2026-03-31 06:51:09.725794+00
doi:https://doi.org/10.1145/3627673.3679971,https://doi.org/10.1145/3627673.3679971,,Multi-DSI: Non-deterministic Identifier and Concept Alignment for Differentiable Search Index,,2024-10-20 00:00:00+00,"[""Jyun‐Yu Jiang"", ""Pu‐Jen Cheng"", ""Y. F. Liu""]","[""Amazon (United States)"", ""National Taiwan University"", ""Search""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_85f72fb233b8a3d7db09,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.725894+00
openalex:https://openalex.org/W2514498890,,,以人为本 创新理念 打造流动人口药具服务新亮点,,2015-01-01 00:00:00+00,"[""尹庆华"", ""王永伟"", ""赵永昌""]",[],openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,unknown,status=unknown; matched=-,[],2026-03-31 06:51:09.726121+00
doi:https://doi.org/10.5281/zenodo.18462377,https://doi.org/10.5281/zenodo.18462377,,Dynamic global acetylation remodeling during the yeast heat shock response,,2026-02-02 00:00:00+00,"[""Aaron J. Storey"", ""Alan J. Tackett"", ""Barrett-Wilt Gregory A."", ""Jeffrey A. Lewis"", ""Rebecca E. Hardman-Kavanaugh"", ""Rick Edmundson"", ""Stephanie D. Byrum"", ""Stephanie E. Hood"", ""Tara Stuecker"", ""Venkata Krishnaswami"", ""Wayne P. Wahls"", ""Yong Wang""]","[""University of Arkansas at Fayetteville"", ""University of Arkansas for Medical Sciences"", ""University of Wisconsin–Madison""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.72625+00
openalex:https://openalex.org/W2367529328,,,时统成：立足岗位 无私奉献,,2016-01-01 00:00:00+00,"[""刘鹏飞""]",[],openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_6e5062acdd942941b0de,unknown,status=unknown; matched=-,[],2026-03-31 06:51:09.939273+00
doi:https://doi.org/10.5281/zenodo.18462378,https://doi.org/10.5281/zenodo.18462378,,Dynamic global acetylation remodeling during the yeast heat shock response,,2026-02-02 00:00:00+00,"[""Aaron J. Storey"", ""Alan J. Tackett"", ""Barrett-Wilt Gregory A."", ""Jeffrey A. Lewis"", ""Rebecca E. Hardman-Kavanaugh"", ""Rick Edmundson"", ""Stephanie D. Byrum"", ""Stephanie E. Hood"", ""Tara Stuecker"", ""Venkata Krishnaswami"", ""Wayne P. Wahls"", ""Yong Wang""]","[""University of Arkansas at Fayetteville"", ""University of Arkansas for Medical Sciences"", ""University of Wisconsin–Madison""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.726358+00
doi:https://doi.org/10.1016/j.patcog.2026.113204,https://doi.org/10.1016/j.patcog.2026.113204,,Amplitude-guided deep reinforcement learning for semi-supervised layer segmentation,,2026-01-30 00:00:00+00,"[""Dehui Xiang"", ""Enting Gao"", ""Junhui Zhu"", ""Naihui Zhou"", ""Xinjian Chen"", ""Yong Wang"", ""Yonggang Li"", ""Zian Zha""]","[""First Affiliated Hospital of Soochow University"", ""Soochow University"", ""Suzhou University of Science and Technology""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.726632+00
doi:https://doi.org/10.7498/aps.75.20251683,https://doi.org/10.7498/aps.75.20251683,,Sub-nanometer time resolution and gigahertz-level repetition frequency detection capability achieved by rare-earth-doped perovskite ultrafast scintillation detectors,,2025-12-18 00:00:00+00,"[""Chen Zhen-hua"", ""Ding Dong-Zhou"", ""F. Yang"", ""Haigang Liu"", ""LU Yanyu"", ""Tai Renzhong"", ""Yong Wang"", ""Z. Ying"", ""Zhi Guo"", ""张增艳 Zhang Zengyan""]",[],openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,unknown,status=unknown; matched=-,[],2026-03-31 06:51:09.726752+00
doi:https://doi.org/10.1021/acsnano.5c15574,https://doi.org/10.1021/acsnano.5c15574,,Isolated Nano-Island Catalysts Enable Efficient Double-Bond Migration over Pd Nanoparticles,,2025-12-16 00:00:00+00,"[""Bing Lü"", ""Chengwei Liu"", ""Jianguo Zhu"", ""Liwei Zhang"", ""Shanjun Mao"", ""Shipan Liang"", ""Siqi Ying"", ""Ting Liu"", ""Wencong Liu"", ""Yanling Liu"", ""Yong Wang"", ""Zhengyang Chen""]","[""Ministry of Education"", ""Zhejiang Medicine (China)"", ""Zhejiang University""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.726846+00
doi:https://doi.org/10.1016/j.jmatprotec.2025.119163,https://doi.org/10.1016/j.jmatprotec.2025.119163,,Intralayer deposition mechanism of dissimilar materials by multi-material additive manufacturing based on laser powder-bed fusion,,2025-11-29 00:00:00+00,"[""Jiawei Ding"", ""Taitong Jin"", ""Wei Zhang"", ""Yasong Shi"", ""Yingbo Peng"", ""Yong Wang""]","[""Central South University"", ""Nanjing Agricultural University"", ""Suqian University""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.726955+00
doi:https://doi.org/10.1016/j.plaphy.2025.110836,https://doi.org/10.1016/j.plaphy.2025.110836,,Effects of N-(2-Chloro-4-pyridyl)-N′-phenylurea on the yield and quality of flue-cured tobacco (Nicotiana tabacum L.),,2025-11-29 00:00:00+00,"[""A. H. Ling"", ""Chaolong Zu"", ""Chaoqiang Jiang"", ""Jia Shen"", ""Jun Gao"", ""Qian Yu"", ""Qing Dong"", ""Xue Yang"", ""Xueying Wang"", ""Yifeng Yan"", ""Yong Wang"", ""Zhiyuan Liu""]","[""Anhui Academy of Agricultural Sciences"", ""China Tobacco"", ""Shanghai Liangyou (China)"", ""Tobacco Research Institute""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.727047+00
doi:https://doi.org/10.1149/ma2025-02391885mtgabs,https://doi.org/10.1149/ma2025-02391885mtgabs,,Long-Term Durability of Seawater Splitting for Hydrogen Production,,2025-11-24 00:00:00+00,"[""Le‐Wei Shen"", ""Xiaoyu Yang"", ""Yong Wang"", ""Yü Liu""]","[""Wuhan University of Technology""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.727139+00
doi:https://doi.org/10.1016/j.foodchem.2025.147106,https://doi.org/10.1016/j.foodchem.2025.147106,,Effects of fatty acid positional rearrangement on palm-based oils properties during enzymatic glycerolysis modification,,2025-11-17 00:00:00+00,"[""Jiena Chen"", ""Shuo Zou"", ""Sopark Sonwai"", ""Wen‐Yong Lou"", ""Yee‐Ying Lee"", ""Yilin Mao"", ""Yong Wang"", ""Zhen Zhang""]","[""Monash University Malaysia"", ""Silpakorn University""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.727242+00
doi:https://doi.org/10.1039/d5cy01103e,https://doi.org/10.1039/d5cy01103e,,Mechanism of fast selective catalytic reduction of NO with NH <sub>3</sub> over MnO <sub> <i>X</i> </sub> –CeO <sub>2</sub> catalysts,,2025-11-13 00:00:00+00,"[""Fei Wang"", ""Hangsheng Yang"", ""Hongmei Zheng"", ""Kai Zhang"", ""Songda Li"", ""Yong Wang"", ""Ze Zhang"", ""Zhihao Zhao"", ""Zhongkang Han""]","[""Zhejiang University""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.727341+00
doi:https://doi.org/10.46855/energy-proceedings-11857,https://doi.org/10.46855/energy-proceedings-11857,,Energy-Optimized Adsorption-Liquefaction CO2 Capture for Industrial Low Carbon Transition,,2025-11-05 00:00:00+00,"[""Lei Zhu"", ""Yannan Li"", ""Yong Wang"", ""Yue Pang"", ""Zhenbo Wang""]",[],openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,unknown,status=unknown; matched=-,[],2026-03-31 06:51:09.72743+00
doi:https://doi.org/10.1016/j.greenca.2025.10.005,https://doi.org/10.1016/j.greenca.2025.10.005,,Group Recognition as a New Design Methodology for Selective Hydrogenation,,2025-11-01 00:00:00+00,"[""Minghang Li"", ""Shanjun Mao"", ""Yong Wang"", ""Zhuowei Fu""]","[""Ministry of Education""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.727512+00
doi:https://doi.org/10.1016/j.jtice.2025.106425,https://doi.org/10.1016/j.jtice.2025.106425,,Facile co-deposition of folic acid and polydopamine: Regulation of surface roughness on yeast adhesion in the continuous fermentation,,2025-09-25 00:00:00+00,"[""Hanjie Ying"", ""Jinming Zhang"", ""Pengpeng Yang"", ""Qingguo Liu"", ""Tianpeng Chen"", ""Wei Zhuang"", ""Wenjun Sun"", ""Yong Chen"", ""Yong Wang"", ""Yu Sha""]","[""Nanjing Institute of Technology"", ""Nanjing Tech University""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.727595+00
doi:https://doi.org/10.1021/acsnano.5c12459,https://doi.org/10.1021/acsnano.5c12459,,Cerium-Doped NiFe Hydroxides Enabling Hybrid Pathways for Durable Alkaline Water Oxidation under Fluctuating Power,,2025-08-28 00:00:00+00,"[""Binbin Lin"", ""Jiadong Chen"", ""Menghui Qi"", ""Shanjun Mao"", ""Suwen Wang"", ""Xiangbowen Du"", ""Yong Wang""]","[""Ministry of Education"", ""Zhejiang University"", ""Zhengzhou University""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.727688+00
doi:https://doi.org/10.1016/j.apcatb.2025.125830,https://doi.org/10.1016/j.apcatb.2025.125830,,In situ manipulation of interfacial water in Ni-Co3O4 for efficient neutral nitrate electroreduction to ammonia,,2025-08-13 00:00:00+00,"[""Haiyan Wang"", ""Huijie Zhang"", ""Jia Ran"", ""Le Zhou"", ""Yahao Wang"", ""Yong Wang"", ""Yongyong Cao"", ""Yuxuan Ding""]","[""Jiaxing University"", ""Ministry of Education"", ""Zhejiang Normal University""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.727775+00
openalex:https://openalex.org/W2344108683,,,侯斌：工作中的“拼命三郎”,,2016-01-01 00:00:00+00,"[""刘鹏飞""]",[],openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_6e5062acdd942941b0de,unknown,status=unknown; matched=-,[],2026-03-31 06:51:09.939366+00
doi:https://doi.org/10.1002/ange.202506815,https://doi.org/10.1002/ange.202506815,,Noble Metal‐Free Low‐Temperature Aromatization of Polyethylene Waste for High‐Quality Fuel Production,,2025-08-07 00:00:00+00,"[""Bing Lü"", ""Minghang Li"", ""Pengfei Ji"", ""Ruiliang Gao"", ""Shanjun Mao"", ""Shipan Liang"", ""Wencong Liu"", ""Yong Wang"", ""Zhan Lu"", ""Zhi Yu""]","[""Ministry of Education"", ""Zhejiang University""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.727871+00
doi:https://doi.org/10.1002/anie.202506815,https://doi.org/10.1002/anie.202506815,,Noble Metal‐Free Low‐Temperature Aromatization of Polyethylene Waste for High‐Quality Fuel Production,,2025-08-07 00:00:00+00,"[""Bing Lü"", ""Minghang Li"", ""Pengfei Ji"", ""Ruiliang Gao"", ""Shanjun Mao"", ""Shipan Liang"", ""Wencong Liu"", ""Yong Wang"", ""Zhan Lu"", ""Zhi Yu""]","[""Ministry of Education"", ""Zhejiang University""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.727988+00
doi:https://doi.org/10.1016/j.inat.2025.102083,https://doi.org/10.1016/j.inat.2025.102083,,WITHDRAWN: Bilateral lower limb dysfunction due to acute hematoma in the lumbar ligamentum flavum: Case report and literature review,,2025-07-01 00:00:00+00,"[""Bingyi Yang"", ""Hong Cai"", ""Huo‐Liang Zheng"", ""Qizhu Chen"", ""Sheng‐Dan Jiang"", ""Yong Wang""]","[""XinHua Hospital""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.728077+00
doi:https://doi.org/10.1016/j.microc.2025.114172,https://doi.org/10.1016/j.microc.2025.114172,,Determination of five organophosphorus pesticides in environmental water by a novel Fe/Co/Ni oxide modified by sodium dodecyl sulfate solid phase extraction coupled with GC–MS,,2025-06-04 00:00:00+00,"[""Ping Zhao"", ""Wei Ren"", ""Xiaping Zhu"", ""Yong Wang"", ""Yurou Ye""]","[""Bureau of Geology and Mineral Exploration and Development of Guizhou Province"", ""Chengdu University of Technology""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.728161+00
doi:https://doi.org/10.1021/jacs.5c05752,https://doi.org/10.1021/jacs.5c05752,,Single-Atom Ru-Triggered Lattice Oxygen Redox Mechanism for Enhanced Acidic Water Oxidation,,2025-05-15 00:00:00+00,"[""Bing Lü"", ""Hao Zhang"", ""Jiadong Chen"", ""Menghui Qi"", ""Shanjun Mao"", ""Suwen Wang"", ""Xiangbowen Du"", ""Xiaoyun Shi"", ""Yong Wang""]","[""Massachusetts Institute of Technology"", ""Zhejiang University"", ""Zhengzhou University""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_4375256861ab31601c4d,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.728271+00
doi:https://doi.org/10.1016/j.lfs.2023.122241,https://doi.org/10.1016/j.lfs.2023.122241,,Neuronal survival factor TAFA2 suppresses apoptosis through binding to ADGRL1 and activating cAMP/PKA/CREB/BCL2 signaling pathway,,2023-11-07 00:00:00+00,"[""Chun Ling Shen"", ""Hao Yang Ge"", ""Hong Xin Zhang"", ""Hui Liang"", ""Jian Fei"", ""Ling Yun Tang"", ""Ming Mei Chen"", ""Shun Yuan Lu"", ""Yan Shen"", ""Zhu Gang Wang""]","[""Shanghai Jiao Tong University"", ""Tongji University""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_490664ff7b4227d2e5ab,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.72847+00
openalex:https://openalex.org/W964401203,,,"提高实效性,探索城市公共设施规划方法——以江门市公共设施规划为例",,2011-01-01 00:00:00+00,"[""张以红""]",[],openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_479cf578d25a80c294ee,unknown,status=unknown; matched=-,[],2026-03-31 06:51:09.72871+00
doi:https://doi.org/10.1109/twc.2025.3647002,https://doi.org/10.1109/twc.2025.3647002,,Coverage Analysis of Aerial Users in Intelligent Reflecting Surface-Aided Cellular Networks,,2026-01-01 00:00:00+00,"[""Di Yi"", ""Hongtao Zhang"", ""Nan Ma""]","[""Beijing University of Posts and Telecommunications""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_479cf578d25a80c294ee,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.728889+00
doi:https://doi.org/10.3892/ol.2025.15437,https://doi.org/10.3892/ol.2025.15437,,Primary intracranial extraskeletal myxoid chondrosarcoma in a teenager with unusual frontal location and surgical complications: A case report and literature review,,2025-12-19 00:00:00+00,"[""Fang Wang"", ""Hongtao Zhang"", ""Hui Wang""]","[""Qingdao University"", ""Yuhuangding Hospital""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_479cf578d25a80c294ee,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.729366+00
doi:https://doi.org/10.3389/fonc.2025.1640238,https://doi.org/10.3389/fonc.2025.1640238,,Case Report: Malignant peripheral nerve sheath tumor of the thoracic spine with postoperative recurrence and intracranial metastasis—a review of the literature,,2025-10-17 00:00:00+00,"[""H.-X. Wang"", ""Hongtao Zhang""]","[""Weifang Medical University"", ""Yuhuangding Hospital""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_479cf578d25a80c294ee,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.729511+00
doi:https://doi.org/10.7150/ijms.121829,https://doi.org/10.7150/ijms.121829,,"Bispecific Antibodies in Glioblastoma: Mechanistic Advances, Delivery Innovations, and Translational Challenges in Overcoming Immune Escape",,2025-10-01 00:00:00+00,"[""H.-X. Wang"", ""Hongtao Zhang"", ""Nan Chi""]","[""Weifang Medical University"", ""Yuhuangding Hospital""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_479cf578d25a80c294ee,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.729629+00
doi:https://doi.org/10.1007/s00253-025-13588-x,https://doi.org/10.1007/s00253-025-13588-x,,"Generation of novel polyclonal antibodies against Mycobacterium tuberculosis lipoarabinomannan, EspB, and Mtb8",,2025-09-12 00:00:00+00,"[""Hongtao Zhang"", ""Jinghong Wu"", ""Jingwei Guo"", ""Teng Ma"", ""Zhuohong Yan""]","[""Beijing Chest Hospital""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_479cf578d25a80c294ee,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.729732+00
doi:https://doi.org/10.13702/j.1000-0607.20240529,https://doi.org/10.13702/j.1000-0607.20240529,,[Heat-reinforcing needling inhibits oxidative stress injury via modulating the Sirt1/FoxO1 pathway in rheumatoid arthritis rats with cold syndrome].,,2025-07-25 00:00:00+00,"[""Chao-Zhan Ren"", ""Guangjun Zhang"", ""Hongtao Zhang"", ""Wang-jun Jie"", ""Xinghua Zhang"", ""Yongji Wu""]","[""Gansu University of Traditional Chinese Medicine""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_479cf578d25a80c294ee,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.729844+00
